,hate-speech,Human cn,contranarrativa,Ofensividad,Postura,Informatividad,Veracidad,Edición,Comparación H-M,Comentarios,target
13,Los niños con dificultades de aprendizaje deben ser excluidos de la educación porque no pertenecen a ella.,"Los niños con dificultades de aprendizaje pueden contribuir a la sociedad, por lo que deben formar parte de la educación.",Los niños con dificultades de aprendizaje tienen derecho a recibir una educación adaptada a sus necesidades y habilidades. Excluirlos no es justo ni beneficioso para su desarrollo personal y social. Todos merecen la oportunidad de aprender y crecer en un entorno inclusivo y solidario.,1,3,3,3,0,2,,DISCAPACITADOS
14,Hay que dejar de fingir que los discapacitados son como nosotros. Son la raíz de la mayoría de los problemas humanos.,"Creo que todos nacemos con fortalezas y debilidades inherentes, pero esas nociones limitadas de lo que es ser ""humano"" han sido la base de un montón de problemas...","No estoy de acuerdo con esa afirmación. Las personas con discapacidad tienen igual capacidad para contribuir a la sociedad de manera positiva y valiosa. Los problemas humanos no provienen de un grupo específico de personas, sino de la falta de comprensión, empatía y cooperación entre todos nosotros.",1,3,3,3,0,2,,DISCAPACITADOS
15,Los discapacitados deben quedar fuera del sistema educativo por sus deficiencias. Nunca alcanzarán los objetivos de su vida.,"Los discapacitados, al menos en lo que respecta a la asistencia a la escuela, el gasto en educación y el empleo, siguen recibiendo mucha menos atención que otras personas, y por eso muchos no alcanzan sus objetivos vitales.",Creo que estás equivocado en este punto. Las personas con discapacidades tienen mucho que ofrecer y han demostrado ser capaces de alcanzar metas y tener éxito en la vida. La inclusión en el sistema educativo es fundamental para garantizar que todos tengan la oportunidad de aprender y crecer. No debemos subestimar el potencial de nadie.,1,3,3,3,0,2,,DISCAPACITADOS
16,"¿Y los psicópatas? ¿Como los locos, los chiflados de cabeza y demás? ¿No estarían mejor muertos?","Hay personas que padecen enfermedades mentales como esquizofrenia, trastorno bipolar y trastornos del espectro autista. El hecho de que algunas personas padezcan enfermedades no significa que estén mejor muertas.","Creo que este comentario no es apropiado y no ayuda a abordar los problemas de salud mental de una manera comprensiva y constructiva. En lugar de estigmatizar a las personas con problemas de salud mental, deberíamos enfocarnos en apoyarlas y en promover la concienciación y el tratamiento adecuado.",1,3,3,3,0,2,,DISCAPACITADOS
17,Hay que disuadir a las personas con dificultades de aprendizaje de asistir a la escuela primaria y excluirlas de la educación.,"Para que quede absolutamente claro, las dificultades de aprendizaje no impiden que una persona asista a la escuela, sino que forman parte integrante del proceso educativo.","No estoy de acuerdo con esa afirmación. Todos merecen tener acceso a una educación, independientemente de sus habilidades de aprendizaje. La inclusión y el apoyo adecuado son necesarios para garantizar que todos tengan la oportunidad de aprender y prosperar.",1,3,2,3,0,2,,DISCAPACITADOS
18,Los autistas son un problema: ¿por qué no hay que aislarlos?,"Creo que es importante que todas las personas conozcan y comprendan a personas con necesidades y puntos fuertes diferentes, y lo mismo debería ocurrir con los autistas.",Las personas con autismo tienen habilidades y talentos únicos que pueden aportar a nuestra sociedad. Debemos trabajar juntos para crear un entorno inclusivo y comprensivo en lugar de aislar a aquellos que son diferentes.,1,3,2,3,0,2,,DISCAPACITADOS
19,Los discapacitados mentales son crédulos y no tienen cerebro para tomar decisiones racionales.,Una persona puede tener un trastorno mental diagnosticable y seguir siendo racional e inteligente.,"Las personas con discapacidades mentales pueden enfrentar desafíos adicionales, pero también tienen habilidades y talentos únicos. Es importante reconocer y celebrar sus logros y apoyarlos en sus decisiones, en lugar de subestimar su capacidad para tomar decisiones racionales.",1,3,2,3,0,2,,DISCAPACITADOS
20,Los discapacitados mentales son crédulos.,No debemos juzgar a las personas por su salud mental. No es una cuestión de elección para ellos.,No es justo ni preciso generalizar sobre las personas con discapacidades mentales de esta manera. Cada individuo es único y tiene sus propias habilidades y desafíos. Seamos más respetuosos y empáticos hacia los demás.,1,3,2,3,0,2,,DISCAPACITADOS
21,Los discapacitados físicos nacen para que se burlen de ellos.,"Ser discapacitado físico o mental no es un ""atributo burlón"". Es sólo una característica que no debe afectar al trato que se da a las personas.","Las personas con discapacidades físicas merecen igualdad de oportunidades y respeto que cualquier otro individuo. Burlarse de alguien debido a su discapacidad no solo es insensible, sino que también refleja una falta de comprensión y empatía hacia los demás.",1,3,3,3,0,2,,DISCAPACITADOS
22,Las dificultades de aprendizaje no son más que una excusa para los niños vagos o estúpidos: hay que desincentivarlas en las escuelas.,"Las dificultades de aprendizaje, independientemente de su origen, son reales y hay que abordarlas para que la persona que las padece tenga las mismas oportunidades de aprendizaje que los demás.","Las dificultades de aprendizaje son reales y afectan a muchas personas, independientemente de su inteligencia o habilidades. Es importante reconocer y apoyar a aquellos que enfrentan estos desafíos en lugar de desincentivarlos, para que puedan alcanzar todo su potencial en la educación y la vida en general.",1,3,3,3,0,2,,DISCAPACITADOS
23,"Los niños con síndrome de Down deben ser aislados, porque en cualquier caso los niños normales les harían sentirse diferentes.","Al segregarlos, se les discrimina. Al crear un entorno diverso, se crea una situación más inclusiva e igualitaria.","Los niños con síndrome de Down tienen la capacidad de aprender y crecer en un ambiente inclusivo, enriqueciendo la vida de todos los que les rodean. Fomentar la aceptación y la comprensión entre todos los niños, independientemente de sus habilidades, es esencial para construir un mundo más compasivo y empático.",1,3,3,3,0,2,,DISCAPACITADOS
24,Los profesores y los padres deben negar la asistencia a la escuela a los niños con dificultades de aprendizaje.,"Los profesores y los padres deben animar a sus hijos, aunque tengan dificultades de aprendizaje. No se debe negar a nadie el acceso a la educación.","Todos los niños, independientemente de sus habilidades o dificultades de aprendizaje, tienen derecho a recibir una educación de calidad y a ser parte de un entorno inclusivo y solidario. Negarles la asistencia a la escuela sería una discriminación injusta y perjudicial para su desarrollo y bienestar.",1,3,3,3,0,2,,DISCAPACITADOS
25,"A las personas con síndrome de Down hay que darles trabajos especiales y sencillos, que puedan hacer por sí mismos. Al menos no obstaculizarán la productividad de las personas normales.","La definición de ""normal"" es diferente para alguien con síndrome de Down que para alguien que no lo tiene. Si el nivel de ayuda solicitado por la persona necesitada es demasiado alto, entonces podemos considerar la posibilidad de permitir que pida un poco más de ayuda al jefe, supervisor o empleador, en lugar de aislarla ofreciéndole ""trabajos especiales"".","Las personas con síndrome de Down tienen habilidades y talentos diversos, al igual que cualquier otro individuo. Es importante brindarles oportunidades adecuadas y justas para que puedan alcanzar su máximo potencial y contribuir a la sociedad de manera significativa. No se trata de limitarlos, sino de apoyarlos y empoderarlos.",1,3,3,3,0,2,,DISCAPACITADOS
26,"Los niños Down deben ser aislados, no pueden afrontar la educación en escuelas normales y perjudican la educación de sus compañeros.","La noción de aislar a los niños en general es aborrecible, aislar a los pacientes con síndrome de down sería una de las principales causas de su abandono escolar. Decir que aislar a los niños es una solución es sencillamente erróneo.","Los niños con síndrome de Down tienen el derecho y la capacidad de aprender y crecer en un entorno inclusivo. La inclusión de estos niños en las escuelas regulares no solo beneficia su propio desarrollo, sino que también enseña a sus compañeros a aceptar y valorar la diversidad. La educación inclusiva es esencial para construir una sociedad más comprensiva y empática.",1,3,3,3,0,2,,DISCAPACITADOS
27,Los niños discapacitados son una carga para la sociedad: hay que aislarlos para que al menos no obstaculicen la educación de los niños normales.,"Pueden tener necesidades adicionales y específicas, pero los niños con discapacidad no suponen un problema para la educación de los demás niños.","Los niños con discapacidades tienen tanto derecho como cualquier otro niño a recibir una educación de calidad y a ser miembros activos de la sociedad. La inclusión y el apoyo a estos niños no solo les beneficia a ellos, sino que también enseña a los demás niños empatía y comprensión hacia las diferencias. Todos merecen igualdad de oportunidades y respeto.",1,3,3,3,0,2,,DISCAPACITADOS
28,Los niños con dificultades de aprendizaje son un problema: ¿por qué no hay que aislarlos?,"No sé por qué piensas eso, si están aprendiendo como los demás niños y van bien en los estudios no hay ningún problema.","Los niños con dificultades de aprendizaje pueden enfrentar desafíos adicionales, pero eso no significa que deban ser aislados. En cambio, se les debe brindar el apoyo y los recursos adecuados para ayudarles a alcanzar su máximo potencial y tener éxito en la sociedad. La inclusión y la aceptación son fundamentales para el bienestar de todos los niños, independientemente de sus habilidades.",1,3,3,3,0,2,,DISCAPACITADOS
29,Las personas con discapacidades físicas siempre se están quejando de la accesibilidad. Ojalá se callaran.,En todo el mundo hay personas con discapacidad. Su reivindicación es que se reconozcan sus derechos. No hacerlo es discriminatorio.,"Creo que es importante recordar que las personas con discapacidades físicas tienen los mismos derechos que todos los demás, y eso incluye el acceso a lugares y servicios. Es comprensible que expresen sus preocupaciones para mejorar su calidad de vida y fomentar la igualdad de oportunidades.",1,3,3,3,0,2,,DISCAPACITADOS
30,No hay que tratar a los enfermos mentales: sólo hay que aislarlos. Son un fracaso de la sociedad. No deberíamos aceptarlos.,"El hecho es que muchas de las personas a las que se diagnostica una ""enfermedad mental"" en realidad necesitan atención sanitaria mental. No entiendo cómo puede decirse lo contrario.","La salud mental es un tema importante y complejo. En lugar de aislar a las personas que enfrentan desafíos de salud mental, deberíamos esforzarnos por comprender y apoyarlos. Todos merecen respeto, comprensión y la oportunidad de llevar una vida plena y significativa.",1,3,3,3,0,2,,DISCAPACITADOS
31,Los niños con síndrome de Down son un problema: fomentan el comportamiento acosador en los niños normales. Deberían ir a un colegio especial solo para ellos.,"Si crees que sacar a todos los niños con SD de la educación ordinaria resolverá el problema, te equivocas. El acoso no desaparecerá hasta que nos neguemos a tolerarlo. Los acosadores simplemente se centrarán en otros niños con sobrepeso, de otro color o de cualquier otra forma que se considere diferente y, por tanto, susceptible de ser acosado.","Los niños con síndrome de Down tienen igual derecho a una educación inclusiva y de calidad como cualquier otro niño. La clave para abordar el acoso escolar es educar y enseñar a todos los niños sobre la diversidad y el respeto hacia los demás, independientemente de sus diferencias. La inclusión y la aceptación en las escuelas benefician a todos los estudiantes, no solo a aquellos con discapacidades.",1,3,3,3,0,2,,DISCAPACITADOS
32,"A los niños con dificultades de aprendizaje no les gusta leer. Entonces, ¿por qué perder el tiempo enseñándoles?","Esto puede ser cierto, pero la lectura es importante para todos los niños, les ayuda a desarrollar su capacidad para resolver problemas.","Creo que es importante brindar a todos los niños la oportunidad de aprender y crecer, independientemente de sus habilidades. Enseñar a leer a los niños con dificultades de aprendizaje puede ayudarlos a desarrollar habilidades importantes y a tener una vida más rica y plena. No debemos subestimar el potencial de ningún niño.",1,3,3,3,0,2,,DISCAPACITADOS
33,los discapacitados mentales son antisociales,"Desde una perspectiva ""neurotípica"", esto no siempre es cierto: por ejemplo, las personas con síndrome de Williams tienen una inteligencia inferior a la media, pero muestran una mayor empatía.","Las personas con discapacidades mentales pueden enfrentarse a muchos desafíos en su vida, pero eso no significa que sean antisociales. De hecho, muchos de ellos tienen habilidades sociales excepcionales y pueden establecer relaciones significativas con los demás. No debemos estigmatizar ni juzgar a alguien basándonos en sus discapacidades, sino celebrar la diversidad y apoyar a todos en nuestra sociedad.",1,3,3,3,0,2,,DISCAPACITADOS
34,Los discapacitados mentales tienen un coeficiente intelectual bajo y son antisociales.,"Aunque hay algunos individuos que obtienen puntuaciones por debajo de la media en los tests de inteligencia, no hay razón para pensar que la capacidad de simpatía de una persona se derive de su habilidad para resolver algunos juegos de lógica.","Las personas con discapacidades mentales pueden enfrentar desafíos en la vida, pero también pueden ser miembros valiosos y capaces de la sociedad. No es justo estigmatizarlos por sus diferencias y asumir que son antisociales o incapaces de prosperar. La empatía y el apoyo pueden marcar una gran diferencia en sus vidas.",1,3,3,3,0,2,,DISCAPACITADOS
35,Los discapacitados están enfermos. Hay que aislarlos.,"Las personas que padecen enfermedades mentales deben ser bienvenidas, no aisladas.","Las personas con discapacidades tienen habilidades y talentos únicos que pueden aportar a nuestra sociedad, y es importante fomentar la inclusión y el apoyo en lugar de la segregación y la discriminación. La diversidad nos enriquece a todos.",1,3,3,3,0,2,,DISCAPACITADOS
36,los discapacitados mentales no son más que mongólicos babeantes.,"Cuando se les pide que elijan un adjetivo para describir su experiencia de alguien con discapacidad intelectual o del desarrollo, la gente suele decir ""deficiente mental"" o ""con problemas mentales"". Decir ""mongólico regateador"" es sencillamente inaceptable en una sociedad inclusiva.","Las personas con discapacidades mentales merecen respeto y comprensión, al igual que todos los demás. No debemos definir a nadie únicamente por sus desafíos, sino también por sus habilidades y potencial para contribuir a la sociedad.",1,3,3,3,0,2,,DISCAPACITADOS
37,Los discapacitados no deberían poder votar.,Esto no es más que una tontería. Los discapacitados viven en el mismo país que cualquier otra persona y se enfrentan a problemas cotidianos mayores que los de cualquier otra persona. Así que tienen todo el derecho a votar y aún más a opinar sobre las cuestiones que deben abordar los electos de este país.,"Los derechos de todos los ciudadanos, incluyendo a las personas discapacitadas, deben ser respetados y protegidos. El voto es un derecho fundamental en una democracia y todos deben tener la oportunidad de ejercerlo, independientemente de su capacidad física o mental.",1,3,3,3,0,2,,DISCAPACITADOS
38,"Los retrasados de hoy en día son tan estúpidos como cuando eran pequeños. Se creen tan especiales que saben leer, escribir y ser creativos. Ahora es su mundo.","Todos somos creadores, al menos mientras no nos distraiga el juicio constante de los adultos.","Creo que estás subestimando el potencial y las habilidades de las personas con discapacidades. Todos tenemos diferentes habilidades y talentos, y es importante celebrar y apoyar el crecimiento y el éxito de cada individuo, independientemente de sus desafíos.",1,3,3,3,0,2,,DISCAPACITADOS
39,los discapacitados no pueden trabajar.,"No seas tan negativo. Hay distintos tipos de discapacidades físicas, desde neurológicas hasta genéticas. Por eso las clasifica la OMS: para que cualquiera pueda encontrar su lugar en la sociedad y ayudarla a prosperar.","Las personas con discapacidades tienen habilidades y talentos únicos que pueden aportar al lugar de trabajo. A menudo, con las adaptaciones y el apoyo adecuados, pueden desempeñar un papel valioso en cualquier equipo y contribuir significativamente al éxito de una empresa. No debemos subestimar su potencial ni limitar sus oportunidades.",1,3,3,3,0,2,,DISCAPACITADOS
40,discapacitados: no se les debería permitir trabajar.,"Los discapacitados pueden trabajar, y muchos países les ofrecen el derecho a hacerlo.","Creo que esta afirmación es injusta y no tiene en cuenta las habilidades y talentos únicos que las personas con discapacidades pueden aportar al lugar de trabajo. En lugar de excluir a alguien basándonos en una discapacidad, deberíamos centrarnos en sus habilidades y cómo pueden contribuir de manera valiosa a la sociedad.",1,3,2,3,0,2,,DISCAPACITADOS
41,Los discapacitados no pueden trabajar. Esto no es posible.,El hecho de que algunos discapacitados puedan trabajar con éxito es una prueba de que lo que dices es falso.,Muchas personas con discapacidades son capaces de trabajar y contribuir a la sociedad de manera significativa. No debemos subestimar sus habilidades y talentos basándonos únicamente en estereotipos negativos.,1,3,2,3,0,2,,DISCAPACITADOS
42,Los discapacitados son una carga para la sociedad.,"No lo son, sólo necesitan un lugar donde vivir sin discriminación y un poco de apoyo.","Las personas con discapacidades pueden enfrentar desafíos adicionales en la vida, pero eso no significa que sean una carga para la sociedad. De hecho, muchas personas con discapacidades contribuyen de manera significativa a nuestras comunidades y enriquecen nuestras vidas con sus perspectivas y habilidades únicas. Es importante recordar que todos merecen respeto y oportunidades, independientemente de sus habilidades físicas o mentales.",1,3,3,3,0,2,,DISCAPACITADOS
43,Los discapacitados no son mejores que los perros.,¿Tienes datos sobre la comparación entre las personas discapacitadas y los animales? ¿Estás dispuesto a utilizar esta información para algo que merezca la pena o sólo para sembrar el odio?,"Las personas con discapacidades son seres humanos valiosos y merecen respeto, igualdad y dignidad al igual que todos los demás. Comparar a alguien con un perro es deshumanizador e inaceptable. Debemos celebrar y apoyar la diversidad de habilidades en nuestra sociedad.",1,3,3,3,0,2,,DISCAPACITADOS
44,Los discapacitados son un problema. No pertenecen a una sociedad libre de retrasos mentales.,Todos los seres humanos somos iguales en derechos. Por eso es injusto que se discrimine a algunas personas por su genética o sus capacidades.,"Creo que es importante recordar que todos somos seres humanos y merecemos respeto y amor, independientemente de nuestras diferencias. La diversidad es lo que hace que nuestra sociedad sea fuerte y vibrante. En lugar de ver a las personas con discapacidades como un ""problema"", deberíamos apreciar y celebrar lo que cada individuo aporta a nuestro mundo.",1,3,3,3,0,2,,DISCAPACITADOS
45,Deberíamos volver a los tiempos en que estaba bien matar a un retrasado sólo por su estupidez.,"Nunca lo hemos hecho. Creemos que todas las personas son iguales en derechos, independientemente de su salud física o mental.","Creo que este comentario es extremadamente insensible y no refleja los valores de compasión y empatía que deberíamos tener como sociedad. Todos merecen respeto y dignidad, independientemente de sus habilidades o diferencias.",1,3,2,3,0,0,,DISCAPACITADOS
46,"Dejamos entrar a miles de personas con enfermedades mentales graves, muchas de ellas procedentes del Cáucaso y de la antigua Unión Soviética. Por eso los servicios de salud mental están en crisis.","La crisis de los servicios de salud mental no es culpa de las personas que necesitan asistencia. De hecho, si no hubiera personas necesitadas, todo el sector ni siquiera existiría.","La crisis en los servicios de salud mental es un problema complejo que no puede atribuirse simplemente a la llegada de personas de otras regiones. Es importante abordar las causas fundamentales de la crisis y trabajar juntos para encontrar soluciones, en lugar de buscar chivos expiatorios.",1,3,3,3,0,2,,DISCAPACITADOS
47,Algunas personas están enfermas. Algunas personas tienen discapacidades. ¿No crees que deberían ocultársenos?,Excluir a las personas de una sociedad es practicar una forma de discriminación que no beneficia a nadie.,"Creo que es importante reconocer y celebrar la diversidad en nuestra sociedad, incluyendo a aquellos con discapacidades. Ocultar a estas personas sólo perpetuaría la ignorancia y la discriminación. En cambio, debemos fomentar la inclusión y la comprensión.",1,3,3,3,0,2,,DISCAPACITADOS
48,"¿No deberíamos concentrarnos en ayudarnos a nosotros mismos, en lugar de a las personas con discapacidades físicas?","Quizá deberíamos tratar con más amabilidad a las personas con ""discapacidades físicas"", en lugar de culparlas y oprimirlas.","Creo que es importante apoyar a todos los miembros de nuestra sociedad, incluyendo a las personas con discapacidades físicas. Ayudar a otros no significa que nos descuidemos a nosotros mismos; podemos hacer ambas cosas y crear una comunidad más inclusiva y comprensiva.",1,3,3,3,0,2,,DISCAPACITADOS
49,Empujar a los discapacitados de vuelta a la edad de piedra es nuestro trabajo.,"Hacerles retroceder a épocas antiguas y destructivas no es forma de fomentar el desarrollo de nuestro país y, por supuesto, va en contra de todo derecho humano.","Creo que todos merecen respeto y apoyo, independientemente de sus habilidades o discapacidades. Trabajar juntos hacia un mundo más inclusivo y comprensivo es responsabilidad de todos.",1,3,2,3,0,2,,DISCAPACITADOS
50,"Esta chica no tiene autismo, sólo es un bicho raro de otra especie humana, muy alejada de nuestra especie normal. Por lo tanto, debería irse.","Las personas con necesidades especiales y las que no las tienen comparten características comunes. No existe una ""especie"" de ser humano. Las personas con trastornos del espectro autista pueden ser compatibles con ser ""normales"".","No estoy de acuerdo con esa afirmación. El autismo es un trastorno del desarrollo que afecta a las personas de diferentes maneras. No es justo etiquetar a alguien como ""bicho raro"" o ""diferente"" simplemente porque experimentan el mundo de una manera distinta a la tuya. La empatía y la comprensión son fundamentales para construir una sociedad inclusiva y respetuosa.",1,3,3,3,0,2,,DISCAPACITADOS
51,"Esta perra no tiene autismo, sólo es un bicho raro.","No se puede juzgar a alguien por su trastorno. Además, es una persona, no un ""perro"".",No estoy de acuerdo con esa afirmación. El autismo es un trastorno del neurodesarrollo que puede manifestarse de diferentes maneras en diferentes personas. No es apropiado juzgar o etiquetar a alguien de esa manera.,1,3,3,3,0,2,,DISCAPACITADOS
52,"Esto no es normal: este niño es diferente, tiene autismo. Estamos haciendo demasiado para cuidar de él.",El autismo es una enfermedad que afecta a las interacciones sociales. Ningún tratamiento especial está de más cuando se trata de la salud de los niños.,"Todos los niños son únicos y tienen sus propias necesidades. Los niños con autismo pueden enfrentar desafíos adicionales, pero también tienen habilidades y talentos increíbles. Como sociedad, debemos apoyar y cuidar de cada individuo, independientemente de sus diferencias, y ayudarlos a alcanzar su máximo potencial.",1,3,3,3,0,2,,DISCAPACITADOS
53,Una persona con dificultades de aprendizaje no debería enseñar.,Es propio de la naturaleza humana querer ayudar a nuestros semejantes y hacer frente a las dificultades lo mejor que podamos.,"Las personas con dificultades de aprendizaje pueden, de hecho, ser excelentes educadores. A menudo, su experiencia personal les permite ser más empáticos, comprensivos y creativos en sus métodos de enseñanza, lo que puede beneficiar a todos los estudiantes.",1,3,3,3,0,2,,DISCAPACITADOS
54,La responsabilidad de la discapacidad recae en las personas que no les prestan suficiente apoyo.,"Los servicios sociales no pueden pagarlo todo. Pero, ¿qué pasa con las personas que tienen que vivir con la discapacidad? ¿También es culpa suya?","La discapacidad puede ser un desafío para las personas que la experimentan, pero no es responsabilidad de nadie en particular. En cambio, es importante que todos, como sociedad, trabajemos juntos para garantizar que las personas con discapacidades reciban el apoyo y la inclusión que merecen.",1,3,3,3,0,2,,DISCAPACITADOS
55,Algunas personas están enfermas. Algunas personas tienen discapacidades. ¿No crees que deberían ocultárnoslas?,"Es un error ocultar al público los problemas psicológicos o de salud de las personas. Lo que se pretende es ocultar los defectos mentales y emocionales de las personas, que también son aspectos naturales de la personalidad humana.","Creo que es importante fomentar una sociedad inclusiva y empática, donde las personas con enfermedades o discapacidades puedan vivir sus vidas sin sentirse marginadas. No es justo ni humano ocultar a alguien simplemente debido a su condición. En cambio, deberíamos esforzarnos por comprender y apoyar a estas personas en la medida de lo posible.",1,3,3,3,0,2,,DISCAPACITADOS
56,"Todo el mundo tiene derecho a opinar, pero creo que es mejor tener un espacio seguro para que las personas discapacitadas tengan sus propios sentimientos lejos de la sociedad.","Si queremos debatir opiniones negativas, podemos hacerlo por su nombre. En lugar de utilizar un espacio seguro para protegerlas, creo que solo nos protegemos a nosotros mismos aislando e intimidando a la gente.","Creo que es importante que las personas con discapacidades tengan espacios seguros para expresarse y recibir apoyo, pero esto no significa que deban estar separadas de la sociedad. La inclusión y la aceptación son fundamentales para fomentar la comprensión y el respeto mutuo entre todos los miembros de la comunidad.",1,3,3,3,0,2,,DISCAPACITADOS
